round,match_date,home_team,guest_team,stadium,date_added,score_home_team,score_guest_team,winning_team,is_weekend,match_period,day_of_week,home_team_wins_last_5,home_team_draws_last_5,home_team_loses_last_5,guest_team_wins_last_5,guest_team_draws_last_5,guest_team_loses_last_5
Rodada 18,2024-07-21 18:30:00,Bragantino,Athletico-PR,Nabi Abi Chedid,2025-05-21 21:28:57.638396,1,0,home,True,night,Sunday,1,1,3,2,0,3
Rodada 18,2024-07-21 18:30:00,Fortaleza,Atlético-GO,Castelão (CE),2025-05-21 21:28:57.666551,3,1,home,True,night,Sunday,4,0,1,0,1,4
Rodada 18,2024-07-21 18:30:00,Juventude,São Paulo,Mané Garrincha,2025-05-21 21:28:57.698268,0,0,draw,True,night,Sunday,2,1,2,4,0,1
Rodada 18,2024-07-21 20:00:00,Cuiabá,Fluminense,Arena Pantanal,2025-05-21 21:28:57.733943,0,1,guest,True,night,Sunday,1,3,1,0,2,3
Rodada 19,2024-07-24 19:00:00,Cruzeiro,Juventude,Mineirão,2025-05-21 21:28:58.399641,2,0,home,False,night,Wednesday,3,0,2,1,2,2
Rodada 3,2024-07-24 19:00:00,Criciúma,Fortaleza,Heriberto Hülse,2025-05-21 21:28:41.200922,1,1,draw,False,night,Wednesday,1,1,3,4,0,1
Rodada 19,2024-07-24 19:30:00,São Paulo,Botafogo,Morumbi,2025-05-21 21:28:58.415615,2,2,draw,False,night,Wednesday,3,1,1,5,0,0
Rodada 19,2024-07-24 20:00:00,Vitória,Flamengo,Barradão,2025-05-21 21:28:58.451581,1,2,guest,False,night,Wednesday,1,0,4,3,1,1
Rodada 19,2024-07-24 21:30:00,Fluminense,Palmeiras,Maracanã,2025-05-21 21:28:58.488470,1,0,home,False,night,Wednesday,1,2,2,3,1,1
Rodada 19,2024-07-24 21:30:00,Atlético-GO,Bahia,Antônio Accioly,2025-05-21 21:28:58.548068,1,1,draw,False,night,Wednesday,0,0,5,2,0,3
Rodada 19,2024-07-25 20:00:00,Corinthians,Grêmio,Arena Corinthians,2025-05-21 21:28:58.582659,2,2,draw,False,night,Thursday,3,0,2,1,1,3
Rodada 20,2024-07-27 19:00:00,Juventude,Criciúma,Alfredo Jaconi,2025-05-21 21:28:59.563337,1,2,guest,True,night,Saturday,1,2,2,0,2,3
Rodada 20,2024-07-27 19:00:00,Palmeiras,Vitória,Arena Palmeiras,2025-05-21 21:28:59.549239,0,2,guest,True,night,Saturday,3,0,2,1,0,4
Rodada 20,2024-07-27 20:00:00,Bahia,Internacional,Fonte Nova,2025-05-21 21:28:59.593813,1,1,draw,True,night,Saturday,1,1,3,0,2,3
Rodada 20,2024-07-27 21:30:00,Fortaleza,São Paulo,Castelão (CE),2025-05-21 21:28:59.656463,1,0,home,True,night,Saturday,4,1,0,2,2,1
Rodada 20,2024-07-27 21:30:00,Botafogo,Cruzeiro,Nilton Santos (Engenhão),2025-05-21 21:28:59.618184,0,3,guest,True,night,Saturday,4,1,0,4,0,1
Rodada 20,2024-07-28 11:00:00,Bragantino,Fluminense,Nabi Abi Chedid,2025-05-21 21:28:59.681672,0,1,guest,True,morning,Sunday,2,1,2,2,2,1
