iter	Passed	Remaining
847	8165	1463
848	8173	1453
849	8182	1444
850	8191	1434
851	8200	1424
852	8210	1414
853	8220	1405
854	8229	1395
855	8238	1385
856	8246	1376
857	8256	1366
858	8264	1356
859	8273	1346
860	8282	1337
861	8290	1327
862	8299	1317
863	8309	1307
864	8319	1298
865	8328	1288
866	8337	1279
867	8346	1269
868	8355	1259
869	8364	1249
870	8373	1240
871	8382	1230
872	8391	1220
873	8400	1211
874	8409	1201
875	8419	1191
876	8428	1182
877	8437	1172
878	8446	1162
879	8454	1152
880	8463	1143
881	8471	1133
882	8480	1123
883	8489	1113
884	8498	1104
885	8507	1094
886	8518	1085
887	8527	1075
888	8536	1065
889	8544	1056
890	8553	1046
891	8562	1036
892	8571	1027
893	8580	1017
894	8589	1007
895	8598	998
896	8606	988
897	8617	978
898	8625	969
899	8635	959
900	8643	949
901	8652	940
902	8661	930
903	8669	920
904	8679	911
905	8687	901
906	8696	891
907	8704	881
908	8714	872
909	8723	862
910	8734	853
911	8742	843
912	8752	833
913	8761	824
914	8769	814
915	8778	805
916	8787	795
917	8796	785
918	8804	776
919	8814	766
920	8822	756
921	8832	747
922	8841	737
923	8850	728
924	8860	718
925	8868	708
926	8877	699
927	8885	689
928	8895	679
929	8904	670
930	8912	660
931	8921	650
932	8930	641
933	8940	631
934	8949	622
935	8958	612
936	8967	602
937	8977	593
938	8985	583
939	8994	574
940	9003	564
941	9011	554
942	9020	545
943	9030	535
944	9039	526
945	9049	516
946	9059	507
947	9067	497
948	9076	487
949	9085	478
950	9094	468
951	9103	458
952	9112	449
953	9121	439
954	9129	430
955	9139	420
956	9147	411
957	9159	401
958	9168	391
959	9177	382
960	9186	372
961	9195	363
962	9204	353
963	9213	344
964	9222	334
965	9230	324
966	9240	315
967	9248	305
968	9259	296
969	9268	286
970	9277	277
971	9286	267
972	9295	257
973	9304	248
974	9313	238
975	9322	229
976	9331	219
977	9339	210
978	9348	200
979	9358	190
980	9368	181
981	9377	171
982	9386	162
983	9394	152
984	9404	143
985	9412	133
986	9421	124
987	9430	114
988	9439	104
989	9448	95
990	9456	85
991	9466	76
992	9475	66
993	9484	57
994	9493	47
995	9502	38
996	9510	28
997	9520	19
998	9528	9
999	9537	0
